"","SQL2","L2","SIS","L1","ISD","RISD","MKL","LLR","UWLLR","HEL","JSM","BCM","BCD","TVD","JSD"
"t1_d1",0.91626428197826,0.976269166614108,0.960896918930632,0.952670985392164,0.959267293675018,0.959442929045817,0.960579732406495,0.957371607420954,0.96111250685009,0.959826033649443,0.959533731464629,0.958854647611733,0.958854647611733,0.958854647611733,0.961011947454581
"t1_d2",0.192126660629192,0.550935653158083,0.540619690403946,0.662505598233129,0.941272717090673,0.946927544711688,0.956553584833095,0.95521612743112,0.956336339808984,0.955524787948453,0.956800340892438,0.955145582185431,0.955145582185431,0.955145582185431,0.956388531911817
"t1_d3",0.466157035491412,0.464810636476808,0.00965412267940731,0.629730331702218,0.588061023733877,0.597149380022972,0.607351101557206,0.867886085458339,0.866197074712001,0.863057478683656,0.866681248298524,0.823990260317899,0.823990260317899,0.823990260317899,0.864931194830892
"t2_d1",0.899372212076375,0.898777265090254,0.968254926370881,0.906634440323749,0.928536450847884,0.929724806692805,0.926195712092191,0.921048281485695,0.926985753363448,0.922351064550689,0.921258656529574,0.918365105470419,0.918365105470419,0.918365105470419,0.927119560421138
"t2_d2",0.235900340320817,0.531301556821933,0.685243375718005,0.217202692690868,0.798335126096466,0.747273994491068,0.928703736797125,0.926628634520781,0.929072212959148,0.950779224296127,0.951410659910485,0.927381690000953,0.927381690000953,0.927381690000953,0.928963385006962
"t2_d3",0.613128058357538,0.615041297950643,0.0102992130485051,0.0150281554505273,0.620946485836599,0.612380144487921,0.615301819092006,0.875963009149466,0.873597613770348,0.866673019669205,0.8677612477137,0.832954355209999,0.832954355209999,0.832954355209999,0.872581486763743
"t3_d1",0.918153253075842,0.921474367862989,0.936143939171753,0.925877198880091,0.936517092780854,0.936666947094364,0.935521663262426,0.932378432116915,0.936215180060851,0.934441500738124,0.933869359029589,0.932273548885811,0.932273548885811,0.932273548885811,0.936306974875964
"t3_d2",0.461981317611316,0.574511487724456,0.536376626743244,0.197621430881626,0.774262430536454,0.778052949887934,0.940561750846283,0.934888267941723,0.935415635818017,0.945763248361755,0.936309121033348,0.941856478917902,0.941856478917902,0.941856478917902,0.935730319102889
"t3_d3",0.662376198898824,0.644517749631128,0.0193354078269619,0.70205044675383,0.0662750205234849,0.0630431540836325,0.624247070522538,0.902318906219792,0.897446767552981,0.902264866778946,0.897546642417687,0.879007644722579,0.879007644722579,0.879007644722579,0.895917304306236
"cellmix_rnaseq_traj_hvg500",0.499135571597084,0.502118637437295,0.6950224615324,0.644666126455274,0.722344245859384,0.807268297463843,0.759464883664894,0.864472980389601,0.791567597672925,0.767024180422578,0.76515224918633,0.790169792203511,0.790169792203511,0.790169792203511,0.825836984414091
"cellmix_rnaseq_traj_hvg1k",0.382242512968607,0.615981736415883,0.609603313724748,0.599608420105316,0.637716262771304,0.735800418375588,0.780956512616368,0.794586364640629,0.814588646461318,0.72309301927141,0.778377104883658,0.801263264580676,0.801263264580676,0.801263264580676,0.845101445450972
"cellmix_rnaseq_traj_hvg5k",0.422804152868942,0.53145417628985,0.616612161019022,0.545083483113403,0.485236051798029,0.638519985854589,0.643632496644969,0.677607918265812,0.675612864228118,0.676955200863879,0.699363858100963,0.818907792718582,0.818907792718582,0.818907792718582,0.796622669961562
